(all) fucked up	(total) im Arsch
a pondering silence	ein nachdenkliches Schweigen
a poor policy	eine schlechte Politik
a practical joke	ein Schabernack
A precious mess!	Eine schöne Unordnung!
a pretty penny	ein nettes Sümmchen
a priori probability	Merkmalswahrscheinlichkeit
a prodigy of learning	ein Wunder an Gelehrsamkeit
a promise is a promise	ein Mann
a quack doctor	ein Kurpfuscher
a ready-made suit	ein Konfektionsanzug
a reel of cotton	eine Rolle Garn
a round lie	eine freche Lüge
a run (streak) of good luck	eine Glückssträhne
a second helping	eine zweite Portion
a sheet of paper	ein Blatt Papier
a short while ago	vor kurzem
a shot-gun wedding	eine Mussheirat
a showy dress	ein auffälliges Kleid
a sight for the gods	ein Bild für die Götter
a single room	ein Einzelzimmer
a slight hope	eine schwache Hoffnung
a slip of the pen	ein Schreibfehler
a smooth customer	ein ganz durchtriebener Kerl
a solid hour	eine geschlagene Stunde
a square deal	eine reelle Sache
a steady rise in prices	ein beständiges Ansteigen der Preise
a story for reflection	eine nachdenkliche Geschichte
a string of cars	eine Reihe Wagen
a stroke of luck	ein Glücksfall
a strong language	Kraftausdrücke
a tale of woe	eine Leidensgeschichte
a thousand things	tausenderlei
a thousand times	tausendmal
a tiny hole	ein winziges Loch
a tragic occurance	ein tragischer Vorfall
a train ran off the rails	ein Zug entgleiste
a two-story building	ein zweistöckiges Haus
a wash-out	ein Schwächling
a while	weile
a white lie	eine Notlüge
a wide difference	ein großer Unterschied
a wide range of	eine große Auswahl von
a word in your ear	ein Wort im Vertrauen
A-bomb	Atombombe
aback	erstaunt
abacus	Rechenbrett
abaft	hinter
abandoned	aufgegeben
abandoning	aufgebend
abandonment	Aufgabe
abandonment of action	Klagerücknahme
abandonment of domicile	Aufgabe  des Wohnsitzes
abandonment of option	Optionsaufgabe
abandonment of position	Aufgabe einer Stellung
abandonment of service	Abschaltung
abandonment stage	Niedergangsphase
abandons	gibt auf
abased	erniedrigte
abasement	Demütigung
abases	erniedrigt
abashed	beschämte
abashedly	beschämend
abashes	beschämt
abashing	beschämend
abashment	Beschämung
abasing	demütigend
abatable	abziehbar
abated	verminderte
abated contribution	niedrigerer Beitrag
abatement	Herabsetzung
abatement of action	Verfahrenseinstellung
abatement of tax	Steuernachlass
abates	vermindert
abating	vermindernd
abattoir	Schlachthaus
abbacies	Amtswürde
abbey	Abtei
abbot	Abt
abbreviated	abgekürzte
abbreviated address	Kurzadresse
abbreviated address call	Kurzaufruf
abbreviated addressing	abgekürzte Adressierung
abbreviated dial code	Kurzwahlzeichen
abbreviated keyboard command	abgekürztes Tastaturkommando
abbreviated version	Kurzfassung
abbreviates	kürzt
abbreviating	kürzend
abbreviation	Abkürzung
abbreviation document	Kurzrufdokument
abbreviations	Abkürzungen
abbreviator	Abkürzer
abbreviatory	abkürzend
abbroachement	Aufkaufen
abdicable	verzichtbar
abdicate	entsagen
abdicated	entsagt
abdicates	entsagt
abdicating	entsagend
abdication	Abdankung
abdicator	Abdanker
abdomen	Unterleib
abdominal	Unterleibs...
abducted	entführte
abducting	entführend
abduction	Entführung
abductor	Entführer
abducts	entführt
abeam	querab
abed	im Bett
Abelian group	abelsche Gruppe
aberrance	Abirrung
aberrances	Verirrung
aberrant	Irrtum
aberration	Abbildungsfehler
aberrations	Verirrungen
abetment	Beihilfe
abetments	Beihilfen
abets	begünstigt
abetted	angestiftete
abetter	Gehilfe
abetting	anstiftend
abettor	Anstifter
abeyance	Unentschiedenheit
abhored	verabscheute
abhores	verabscheut
abhoring	verabscheuend
abhorred	verabscheute
abhorrence	Abscheu
abhorrent	abscheulich
abhorrently	verabscheuungswürdige
abhorring	verabscheuend
abhors	verabscheut
abidance	Aufenhalt
abide	(Folgen) tragen
abided	(Folgen) tragen
abided} (by)	(Folgen) tragen
abider	Getreue
abides	bleibt
abiding	bleibend
abidingly	treu
abigail	Zofe
abilities	Fähigkeiten
ability	Befähigung
ability to cope with pressure (strain)	Belastbarkeit
ability to pay	Zahlungsfähigkeit
abject	elend
abjection	Verwerflichkeit
abjectly	verwerfliche
abjectness	Verworfenheit
abjuration	Entsagung
abjure	abschwören
abjured	abgeschworen
abjures	schwört ab
abjuring	abschwörend
ablation	Entfernung
ablaze	lodernd
able	fähig
abler	fähiger
ablest	fähigste
abloom	Blüte
ablutions	Waschungen
ably	geschickt
abnegated	abgeleugnet
abnegates	leugnet ab
abnegating	ableugnend
abnegation	Verleugnung
abnegator	Versager
abnegators	Versager
abnormal	abartig
abnormal curve	anormale Häufigkeitskurve
abnormal discount	ungewöhnlich hoher Preisnachlass
abnormal end	fehlerhaftes Programmende
abnormal system end	Systemabsturz
abnormal termination	außerplanmäßige Beendigung
abnormalities	Abweichungen
abnormality	Abweichung
abnormally	abnorm
aboard	an Bord
abode	(Folgen) tragen
abolishable	abschaffbar
abolished	abgeschafft
abolishes	schafft Ab
abolishing	abschaffend
abolishment	Abschaffung
abolition	Abschaffung
abolitionisms	Abschaffungen
abolitionists	Sklavereigegner
abolitions	Aufhebung  der Sklaverei
abominable	abscheulich
abominably	abscheulich
abominated	verabscheute
abominates	verabscheut
abominating	verabscheuend
abomination	Abscheu
aboriginal	eingeboren
aboriginal cost	Anschaffungskosten
aboriginally	eingeborene
aborigine	Ureinwohner
aborigines	Stammvolk
abort code	Abbruchcode
abort macro	Abbruchmakro
abort without change	Abbrechen  ohne Änderungen
aborted	abgebrochen
aborting	abbrechend
abortion	Abtreibung
abortion	Schwangerschaftsunterbrechung
abortional	abtreibend
abortionist	Abtreiber
abortions	Abtreibungen
abortive	unvollkommen
abortively	vorzeitig
abortiveness	Fehlgebären
abound	reichlich
abounded	strotzte
abounded in	gestrotzt
abounding	reichlich vorhanden
about	benachrichtigen
about face	Kehrtwendung
about)	froh (über)
above	oben
above all	vor allem
above Average	über dem Durchschnitt
above average growth	überdurchschnittliches Wachstum
above mentioned	obenerwähnt
above par	über Nennwert
above zero	über Null
aboveboard	ehrlich
abraded	rieb ab
abrades	reibt ab
abrading	abreibend
abrasion	Abnützung
abrasively	abreibend
abrasiveness	Abreiben
abrasivenesses	Härte
abreacted	abreagiert
abreacting	abreagierend
abreacts	reagiert ab
abreast	nebeneinander
abridged	gekürzt
abridgement	Kurzfassung
abridgements	Kürzungen
abridges	kürzt
abridging	kürzend
abroad	im Ausland
abrogated	aufgehoben
abrogates	hebt auf
abrogating	aufhebend
abrogation	Aufhebung
abrogations	Aufhebungen
abrupt	abgebrochen
abruption	Abbrechung
abruptness	Plötzlichkeit
abruptnesses	Plötzlichkeiten
abscess	Abszess
abscissa	Abszisse
abscissae	Abzisse
absconded	flüchtete
absconder	Flüchtling
absconding	flüchtend
absconds	flüchtet
absence	Abwesenheit
absence due to illness	krankheitsbedingtes Fehlen
absence of postage	nicht freigemacht
absence of quorum	Beschlussunfähigkeit
absence of rate	Fehlzeitenquote
absence of reaction	Rückwirkungsfreiheit
absence of smell	Geruchlosigkeit
absence of time	Abwesenheitszeit
absence [of]	Abwesenheit  [von]
absences	Abwesenheiten
absent	abwesend
absent minded	geistesabwesend
absent oneself from	fernbleiben von
absented	ferngeblieben
absentee	Abwesende
absentee voter	Briefwähler
absentee voting	Briefwahl
absenteeism	dauernde Abwesenheit
absentees	Abwesende
absenting	fernbleibend
absently	abwesend
absentminded	zerfahren
absentmindedly	zerstreut
absentmindedness	Geistesabwesenheit
absents	bleibt fern
absinthe	Wermut
absolute	absolut
absolute acceptance	unbedingte Annahme
absolute address	absolute(wirkliche) Adresse
absolute address area	Absolutadressbereich
absolute addressing	absolute Adressierung
absolute advantage	absoluter Kostenvorteil
absolute assignment	vorbehaltlose Abtretung
absolute code	Maschinencode
absolute coding	einfache Codierung
absolute control block	Absolutsteuerblock
absolute convergence	absolute Konvergenz
absolute deviation	absolute Abweichung
absolute economics	absolute Kostenvorteile
absolute element	ausführbares Element
absolute entry	Absoluteintragung
absolute error	absoluter Fehler
absolute expression	absoluter Ausdruck
absolute file	Absolutdatei
absolute file reference	Absolutaktenzeichen
absolute frequency	absolute Frequenz
absolute gift	bedingungslose Schenkung
absolute guaranty	selbstschuldnerische Bürgschaft
absolute income theory	absolute Einkommenshypothese
absolute inflation	absolute Inflation
absolute interest	uneingeschränkter Besitz
absolute liability	Gefährdungshaftung
absolute liquidity ratio	Barliquidität
absolute loader	Absolutlader
absolute measure	dimensionslose Maßzahl
absolute measurements	Bezugsmaß
absolute monopoly	vollkommenes Monopol
absolute name	Absolutname
absolute number	absolute Zahl
absolute ownership	Eigentum
absolute presumption	unwiderlegliche Vermutung
absolute priority	Gläubigervorrecht
absolute program	absolutes Programm
absolute programming	absolute Programmierung
absolute right	absolutes Recht
absolute selction	Absolutauswahl
absolute shutdown	Systemende
absolute storage address	absolute Speicheradresse
absolute suretyship	selbstschuldnerische Bürgschaft
absolute term	Konstante
absolute text	Absoluttext
absolute title	uneingeschränktes Eigentum
absolute value	Absolutbetrag  [math.]
absolutely	durchaus
absolutely convergent	absolut konvergent [math.]
absolutely liable	unbeschränkt haftbar
absoluteness	Absolute
absolution	Freisprechung
absolutism	Absolutismus
absolvable	freisprechbar
absolve	freisprechen
absolving	freisprechend
absorbabilities	Aufsaugfähigkeiten
absorbability	Absorptionsfähigkeit
absorbable	absorptionsfähig
absorbed	absorbierte
absorbed cost basis	Vollkostenbasis
absorbed in thought	in Gedanken versunken
absorbed overhead	verrechnete Gemeinkosten
absorbencies	Absorptionsvermögen
absorbency	Saugfähigkeit
absorbent	aufsaugend
absorbent paper	Saugpapier
absorbent papers	Saugpapiere
absorber	Absorber
absorbing	absorbierender
absorbing capacity	Aufnahmefähigkeit
absorbing company	übernehmende Gesellschaft
absorbing region	absorbierender Bereich
absorbingly	aufsaugende
absorbs	absorbiert
absorption	Absorption
absorption account	Sammelkonto
absorption approach	Absorptionstheorie
absorption costing	Vollkostenrechnung
absorption of funds	Finanzmittelbindung
absorption of water	Wasseraufnahme
absorptive	absorptionsfähig
absortion point	Sättigungsgrenze
abstain from	enthalte
abstained	Abstand genommen
abstained from	enthieltest
abstainer	Temperenzler
abstaining	enthaltend
abstains	enthält
abstemious	enthaltsam
abstemiously	enthaltsam
abstemiousness	Enthaltsamkeit
abstention	Enthaltung
abstentious	enthaltsam
abstinence	Abstinenz
abstinent	abstinent
abstinently	enthaltsam
abstract	Abriss
abstract mathematics	reine Mathematik
abstract number	abstrakte Zahl
abstract of account	Kontoauszug
abstract of title	Eigentumsnachweis
abstract symbol	unbekanntes Symbol (Zeichen)
abstract term	abstrakter Begriff
abstracted	zerstreut
abstractedly	abstrakt
abstractedness	Zerstreutheit
abstracting	abstrahierend
abstraction	Abstraktion
abstractive	abstrahierungsfähig
abstractly	abstrakt
abstracts	abstrahiert
abstruse	dunkel
abstrusely	verworrene
abstruseness	Verworrenheit
absurd	absurd
absurdism	Unsinn
absurdities	Absurditäten
absurdity	Absurdität
absurdly	sinnwidrig
absurdness	Sinnwidrigkeit
absurdnesses	Sinnlosigkeiten
abundance	Überfluss
abundance of words	Wortfülle
abundant	reichlich
abundantly	reichliche
abuse	Missbrauch
abuse of discretion	Ermessensmissbrauch
abuse of market power	Marktmachtmissbrauch
abuse of patent	Patentnutzungsmissbrauch
abuse of process	Prozessmissbrauch
abuse of right	Rechtsmissbrauch
abused	geschmäht
abuses	missbraucht
abusing	missbrauchend
abusive	beleidigend
abusive word	Scheltwort
abusively	beleidigend
abusiveness	Missbrauch
abusivenesses	Missbräuche
abutment	Balkenkopf
abuts	grenzt
abutted	gegrenzt
abutter	Anlieger
abutting	angrenzend
abutting face	Stirnfläche
abutting owner	Anrainer
abysm	Abgrund
abysmal	abgrundtief
abysmally	abgrundtiefe
abysms	Abgründe
abyss	Abgrund
abyssal	tief
abysses	Abgründe
academic	akademisch
academic year	Studienjahr
academical	akademisch
academically	akademisch
academician	Mitglied einer Akademie
academics	Akademiker
academies	Akademien
academies of arts	Kunstakademien
academies of music	Konservatorien
academy	Akademie
academy of arts	Kunstakademie
academy of music	Konservatorium
acanthi	Laubverzierungen
acanthus	Laubverzierung
acanthuses	dornig
acceded	beigetreten
accedence	Beitritt
accedes	pflichtet bei
acceding	beipflichtend
acceding countries	Beitrittsländer
accelerated	beschleunigt
accelerated growth	beschleunigtes Wirtschaftswachstum
accelerated incentive	progressiver Leistungslohn
accelerated maturity	vorzeitige Fälligkeit
accelerated paper	überfällige Wertpapiere
accelerated premium pay	progressive Leistungsprämie
accelerated test	Kurzzeitversuch
accelerates	beschleunigt
accelerating	beschleunigend
acceleration	Beschleunigung
acceleration clause	Verfallklausel
acceleration control	Beschleunigungsregelung
acceleration principle	Akzelerationsprinzip
acceleration time	Anlaufzeit
accelerative	beschleunigende
accelerator	Beschleuniger
accelerator (pedal)	Gaspedal
accent	Akzent
accent character	Akzentbuchstabe
accented	akzentuierte
accenting	akzentuierend
accents	Akzente
accentual	akzentuierend
accentuated	akzentuierte
accentuated contrast	Kontrastentscheidung
accentuates	akzentuiert
accentuating	akzentuierende
accentuation	Betonung
acceptabilities	Eignungen
acceptability	Annehmbarkeit
acceptability of risks	Tragbarkeit  von Risiken
acceptability standards	Abnahmebedingungen
acceptable	annehmbar
acceptable price	annehmbarer Preis
acceptable quality	annehmbare Qualität
acceptable quality level	annehmbare Qualitäts-Grenzlage
acceptable reliability level	annehmbares Zuverlässigkeitsniveau
acceptable set	akzeptierbare Menge
acceptableness	Annehmlichkeit
acceptably	annehmbare
acceptance	Abnahme
acceptance account	Wechselkonto
acceptance certificate	Abnahmebescheinigung
acceptance configuration	Abnahmekonfiguration
acceptance inspection	Abnahmekontrolle
acceptance line	Abnahmelinie
acceptance market	Akzeptmarkt
acceptance number	Abnahmezahl
acceptance of bid	Auftragsvergabe
acceptance of guarantee	Garantieübernahme
acceptance of life	Lebensbejahung
acceptance of order	Auftragsbestätigung
acceptance proposal	Antragsannahme
acceptance region	Abnahmebereich
acceptance sampling	Abnahmekontrolle
acceptance sampling plan	Abnahme
acceptance standards	Abnahmevorschriften
acceptance terms	Abnahmebedingungen
acceptance test	Abnahmeprüfung
acceptance test procedure	Abnahmevorschrift
acceptance trial	Abnahmetest
acceptation	Sinn
accepted	akzeptierte
accepted lot	angenommene Lieferung
accepted value	Anrechnungswert
accepter	Abnehmer
accepting	akzeptierend
accepting company	Rückversicherer
accepting station	empfangende Datenstation
acceptor	Abnehmer
acceptor for honor	Honorant
acceptor handshake	Abnahmequittung
accepts	akzeptiert
access	Einsicht
access aid	Zugangshilfe
access arm	Zugriffsarm  (von Magnetplatte)
access authority	Zugriffsberechtigung
access authorization	Zugangsberechtigung
access authorized	zugriffsberechtigt
access charge	Zugangsgebühr
access check	Zugangsprüfung
access control	Zugriffskontrolle
access control list	Zugriffskontrolliste
access control register	Steuerregister  für Ein- Ausgabekanal
access control word	Zugriffssteuerwort
access cover	Abdeckung
access denied	Zugriff abgelehnt
access information	Zugangsinformation
access key	Zugriffsschlüssel
access line	Anschlussleitung
access macro	Zugriffsmakro
access matrix	Zugriffsmatrix
access method	Zugriffsart
access mode	Zugriffsart
access module	Zugriffsmodul
access operation code	Zugriffsoperationscode
access path	Zugriffspfad
access program	Zugriffsprogramm
access protection	Zugriffsschutz
access rate	Zugriffsrate
access right	Zugriffsrecht
access road	Autobahneinfahrt
access routine	Zugriffsroutine
access standby switch	Ausschalter
access time	Zugriffsdauer
access unit	Zugriffseinheit
accessable	zugänglich
accessed	zugegriffen
accesses	greift zu
accessibility	Zugänglichkeit
accessible	zugänglich
accessible register	zugängliches Register
accessibleness	Erreichbarkeit
accessibly	zugänglich
accessing	zugreifend
accession	Antritt
accession clause	Beitrittsklausel
accession rate	Einstellungsquote
accession talks	Beitrittsverhandlungen
accession to power	Regierungsantritt
accessions tax	Schenkungssteuer
accessories	Autozubehöre
accessories kit	Zubehör
accessorily	zusätzlich
accessory	Zubehörsatz
accessory advertising	Randwerbung
accessory claim	Nebenanspruch
accessory contract	Zusatzvertrag
accessory equipment	Anbaugerät
accessory part	Zubehörteil
accessory unit	Zusatzgerät
accident	Missgeschick
accident analysis	Unfallursachenforschung
accident benefit	Unfallrente
accident frequency rate	Unfallziffer
accident hazard	Unfallrisiko
accident insurance	Unfallversicherung
accident liability	Unfallhaftpflicht
accident prone	unfallgeneigt
accident proneness	Unfallneigung
accident rate	Unfallhäufigkeitsziffer
accident-free	unfallfrei
accidental	unglückliche
accidental death	Unfalltod
accidental sampling	unkontrolliertes Stichprobenverfahren
accidentally	aus Versehen
accidently	zufällig
accidents	Unfälle
acclaim	Beifall
acclaimed	jubelte zu
acclaiming	zujubelnd
acclaims	jubelt zu
acclamation	Beifall
acclimated	gewöhnte
acclimates	gewöhnt
acclimating	gewöhnend
acclimatization	Akklimatisierung
acclimatized	akklimatisierte
acclimatizes	akklimatisiert
acclimatizing	akklimatisierend
acclivities	Steigungen
acclivity	Steigung
accocation	Verwaltung
accolade	Auszeichnung
accommodated	angepasst
accommodates	beherbergt
accommodating	anpassend
accommodating items	Restposten  der Zahlungsbilanz
accommodating transactions	Ausgleichstransaktionen
accommodatingly	gefällig
accommodation	Quartier
accommodation acceptance	Gefälligkeitsakzept
accommodation address	Nachsendeadresse
accommodation allowance	Auslösung
accommodation berth	reservierter Liegeplatz
accommodation contract	Gefälligkeitsgarantie
accommodation line	Gefälligkeitsgeschäft
accommodation paper	Gefälligkeitspapier
accommodation personnel	Scheingründe
accommodation purchase	Vorzugskauf
accommodation unit	Wohneinheit
accommodation way	Zufahrtsweg
accommodative	versorgend
accommodatively	versorgende
accommodativeness	Bequemlichkeit
accommodated	angepasst
accommodating	anpassend
accommodation	Anpassung
accommodations	Anpassungen
accompanied	begleitet
accompanied back	zurückbegleitet
accompanies	begleitet
accompaniment	Begleitung
accompanist	Begleiter
accompanying	begleitend
accompanying back	zurückbegleitend
accompanying document	Begleitpapier
accompanying letter	Begleitschreiben
accompanying list	Begleitliste
accompanying message	Begleitmeldung
accomplice	Komplize
accomplices	Komplizen
accomplishable	erreichbar
accomplished	ausgeführt
accomplishes	vollbringt
accomplishing	vollbringend
accomplishment	Ausführung
accord	Übereinstimmung
accordance	Zustimmung
accordances	Übereinstimmungen
accordant	übereinstimmend
accordantly	übereinstimmende
accorded	bewilligte
according	entsprechend
according to	entsprechend
according to amount	betragsmäßig
according to civil law	zivilrechtlich
according to contract	vertragsgemäß
according to directions	vorschriftsmäßige
according to form	formulargerecht
according to her lights	so gut sie es eben versteht
according to instructions	vorschriftsmäßig
according to plan	planmäßig
according to regulations	vorschriftsmäßigem
according to tax law	steuerrechtlich
according to the rules	ordnungsgemäß
according to what you said	nach Ihrer Aussage
accordingly	danach
accordion	Akkordeon
accordions	Ziehharmonikas
accords	stimmt überein
accosted	angesprochen
accosting	ansprechend
account	Berechnung
account analysis	Kontenanalyse
account and risk	Risikoausschlussklausel
account association	Kontenzuordnung
account authorization	Kontenberechtigung
account balance	Kontosalden
account books	Geschäftsbücher
account card	Kontokarte
account carried forward	Vortrag
account carrying charges	Kontospesen
account category	Kontenklasse
account classification	Kontengliederung
account code	Kontoschlüssel
account column	Kontenspalte
account composition	Kontenzusammenstellung
account consolidation	Kontenzusammenführung
account control	Kontensteuerung
account debtor	Abnehmer
account designation	Kontobezeichnung
account display	Kontoanzeige
account duration	Kontolaufzeit
account executive	Kontaktmann
account files	Kontounterlagen
account form	Kontenblatt
account formation	Kontenbildung
account group	Kontogruppe
account group title	Kontengruppenbezeichnung
account header	Kontoüberschrift
account holder	Kontoinhaber
account in balance	ausgeglichenes Konto
account inventory tape	Kontenbestandsband
account level	Kontenebene
account locating	Kontofindung
account maintenance	Kontopflege
account maintenance charge	Kontoführungsgebühr
account management	Kontoführung
account management fee	Buchungsgebühr
account master	Kontenstamm
account master record	Kontostammsatz
account movements	Kontobewegung
account name	Kontenbezeichnung
account number	Kontonummer
account number position	Kontonummernstelle
account number setup	Kontonummernaufbau
account number supplement	Kontonummernergänzung
account of charges	Gebührenaufstellung
account of sales	Verkaufsabrechnung
account payable	Kreditorenkonto
account payee only	nur zur Verrechnung
account period	Abrechnungsperiode
account plain text	Kontoklartext
account planning	Medienplanung
account posting	Kontenbuchung
account processing	Kontenbearbeitung
account reconciliation	Kontoabstimmung
account register	Kontenverzeichnis
account selection	Kontenauswahl
account specific	kontenspezifisch
account supplement	Kontoergänzung
account table	Kontentabelle
account title	Kontenbezeichnung
account totalling	Kontenabsummierung
account turnover	Kontoumsatz
account turnover fee	Umsatzprovision
account type	Kontoart
accountability	Verantwortlichkeit
accountable	verantwortlich
accountable event	Buchungsvorfall
accountableness	Verantwortlichkeit
accountably	verantwortlich
accountancies	Buchhaltungen
accountancy	Buchhaltung
accountancy theory	Buchhaltungstheorie
accountant	Bilanzbuchhalter
accounted	begründete
accounter	Bücherrevisor
accounting	Abrechnung
accounting area	Buchungskreis
accounting center	zentrale Abrechnungsstelle
accounting clerk	Buchhalter
accounting computer	Abrechnungscomputer
accounting control	Rechnungsprüfung
accounting cycle	Buchungsdurchlauf
accounting data	Buchhaltungsdaten
accounting department	Buchhaltung
accounting document	Buchungsunterlage
accounting entity	Wirtschaftseinheit
accounting equation	Bilanzgleichung
accounting file	Abrechnungsdatei
accounting income	Periodengewinn
accounting log file	Abrechnungsprotokolldatei
accounting machine	Abrechnungsmaschine
accounting manual	Bilanzierungshandbuch
accounting method	Kontenführung
accounting period	Abrechnungsperiode
accounting price	Schattenpreis
accounting principles	Buchführungsrichtlinien
accounting profit	Buchgewinn
accounting records	Aufzeichnungen
accounting routine	Abrechnungsroutine
accounting rules	Grundsätze der Rechnungslegung
accounting schedule	Buchungsschema
accounting segment	Buchhaltungssegment
accounting standards	Grundsätze des Rechnungswesens
accounting structure	Buchhaltungsstruktur
accounting surplus	Rechnungsüberschuss
accounting system	Buchführungssystem
accounting voucher	Buchhaltungsbeleg
accounting year	Geschäftsjahr
accounts	berechnet
accounts clerk	Buchhalter
accounts closing	Buchhaltungsabschluss
accounts current	Kontoauszug
accounts department	Buchhaltung
accounts display	Kontenanzeige
accounts maintenance	Kontenpflege
accounts management	Kontenverwaltung
accounts master record	Kontenstammsatz
accounts payable	Kreditorenkonten
accounts payable account	Verbindlichkeiten
accounts payable analysis	Kreditorenauswertung
accounts payable area	Kreditorenbereich
accounts payable entry	Kreditorenbuchung
accounts payable item	Kreditorenzeile
accounts payable ledger	Lieferantenbuch
accounts payable master	Kreditorenstamm
accounts payable number	Kreditorennummer
accounts payable other	sonstige Verbindlichkeiten
accounts payable payment	Kreditorenzahlung
accounts payable posting	Kreditorenbuchung
accounts payable screen	Kreditorenbild
accounts payable section	Kreditorenteil
accounts payable settlement	Kreditorenverrechnung
accounts payable system	Kreditorensystem
accounts payable voucher	Kreditorenbeleg
accounts posting	Kontenbeschreibung
accounts posting tape	Kontenschreibungsband
accounts receivable	Außenstände
accounts receivable account	Debitorenkonto
accounts receivable analysis	Debitorenauswertungen
accounts receivable area	Debitorenbereich
accounts receivable entry	Debitorenbuchung
accounts receivable file	Debitorendatei
accounts receivable loan	Debitorenkredit
accounts receivable master	Debitorenstamm
accounts receivable number	Debitorennummer
accounts receivable other	sonstige Forderungen
accounts receivable risk	Debitorenwagnis
accounts receivable section	Debitorenteil
accounts register	Kontoverzeichnis
accouter	einkleiden
accoutered	kleidete ein
accouterment	Ausstaffierung
accouters	kleidet ein
accoutred	rüstete aus
accoutrement	Ausstattung
accoutres	rüstet aus
accoutring	ausrüstend
accredited	akkreditierte
accredited dealer	zugelassener Händler
accredited investor	zugelassener Anleger
accredited milk	Markenmilch
accrediting	akkreditierend
accredits	akkreditiert
accretion	Wachstum
accretion of discount	Disagio
accrual	Anfall  (Dividende
accrual and deferral	Rechnungsabgrenzung
accrual date	Fälligkeitstag
accruals accounting	Periodenrechnung
accrued	aufgelaufen
accrued dividend	aufgelaufene Dividende
accrued interest	aufgelaufene Zinsen
accrued item	Rechnungsabrechnungsposten
accrued liabilities	Rückstellungen
accrued taxes	Steuerschuld
accruement	Entstehung
accruements	Entstehungen
